>>>>Average pose  error: lat  3.70058 	lon 21.0087 	 alt 32.3743
>>>>Average pose  error: lat  3.70058 	lon 21.0087 	 alt 32.3743
>>>>Average pose  error: lat  18.7633 	lon 17.7866 	 alt 807.447
>>>>Average pose  error: lat  44.7178 	lon 22.7356 	 alt 33.7935
>>>>Average pose  error: lat  44.7178 	lon 22.7356 	 alt 33.7935
>>>>Average pose  error: lat  24.3532 	lon 38.0312 	 alt 809.353
>>>>Average pose  error: lat  30.7337 	lon 42.6593 	 alt 351.728
>>>>Average pose  error: lat  13.2984 	lon 32.3454 	 alt 357.007
>>>>Average pose  error: lat  10.418 	lon 26.9711 	 alt 804.985
>>>>Average pose  error: lat  10.418 	lon 26.9711 	 alt 804.985
>>>>Average pose  error: lat  10.418 	lon 26.9711 	 alt 804.985
>>>>Average pose  error: lat  11.9131 	lon 30.2704 	 alt 804.702
>>>>Average pose  error: lat  10.418 	lon 26.9711 	 alt 804.985
>>>>Average pose  error: lat  10.418 	lon 26.9711 	 alt 804.985
>>>>Average pose  error: lat  11.9131 	lon 30.2704 	 alt 804.702
>>>>Average pose  error: lat  10.418 	lon 11.3736 	 alt 805.68
>>>>Average pose  error: lat  16.5813 	lon 26.9674 	 alt 804.875
>>>>Average pose  error: lat  10.418 	lon 26.9711 	 alt 804.985
>>>>Average pose  error: lat  11.9131 	lon 30.2704 	 alt 804.702
>>>>Average pose  error: lat  13.2984 	lon 32.3454 	 alt 357.007
>>>>Average pose  error: lat  10.418 	lon 26.9711 	 alt 804.985
>>>>Average pose  error: lat  11.9131 	lon 30.2704 	 alt 804.702
>>>>Average pose  error: lat  11.9131 	lon 4.7502 	 alt 805.6
>>>>Average pose  error: lat  11.9131 	lon 4.7502 	 alt 805.6
>>>>Average pose  error: lat  11.9131 	lon 4.7502 	 alt 805.6
>>>>Average pose  error: lat  11.9131 	lon 4.7502 	 alt 2.0549
>>>>Average pose  error: lat  17.0849 	lon 20.5532 	 alt 433.384
>>>>Average pose  error: lat  41.5033 	lon 13.1504 	 alt 3.38888
>>>>Average pose  error: lat  45.2007 	lon 21.689 	 alt 3.30836
>>>>Average pose  error: lat  3.41921 	lon 77.5668 	 alt 13.6615
>>>>Average pose  error: lat  32.2461 	lon 24.999 	 alt 2.25189
>>>>Average pose  error: lat  43.1345 	lon 28.9805 	 alt 3.29674
>>>>Average pose  error: lat  3.41921 	lon 77.5668 	 alt 13.6615
>>>>Average pose  error: lat  11.9131 	lon 4.7502 	 alt 2.0549
>>>>Average pose  error: lat  11.9131 	lon 4.7502 	 alt 2.0549
>>>>Average pose  error: lat  3.41921 	lon 77.5668 	 alt 13.6615
