>>>>Average pose  error: lat  1.96271 	lon 34.859 	 alt 15.6399
>>>>Average pose  error: lat  1.96271 	lon 34.859 	 alt 15.6399
>>>>Average pose  error: lat  14.6521 	lon 32.5344 	 alt 199.939
>>>>Average pose  error: lat  21.2698 	lon 30.902 	 alt 14.2847
>>>>Average pose  error: lat  21.2698 	lon 30.902 	 alt 14.2847
>>>>Average pose  error: lat  9.10562 	lon 7.63066 	 alt 200.293
>>>>Average pose  error: lat  81.6063 	lon 3.17358 	 alt 96.162
>>>>Average pose  error: lat  77.4196 	lon 3.34197 	 alt 89.0637
>>>>Average pose  error: lat  9.13536 	lon 2.25532 	 alt 197.67
>>>>Average pose  error: lat  9.13536 	lon 2.25532 	 alt 197.67
>>>>Average pose  error: lat  9.13536 	lon 2.25532 	 alt 197.67
>>>>Average pose  error: lat  9.13536 	lon 2.25532 	 alt 197.67
>>>>Average pose  error: lat  9.13536 	lon 2.25532 	 alt 197.67
>>>>Average pose  error: lat  9.13536 	lon 2.25532 	 alt 197.67
>>>>Average pose  error: lat  9.13536 	lon 2.25532 	 alt 197.67
>>>>Average pose  error: lat  0.462153 	lon 4.82241 	 alt 197.706
>>>>Average pose  error: lat  9.13536 	lon 2.25532 	 alt 197.67
>>>>Average pose  error: lat  9.13536 	lon 2.25532 	 alt 197.67
>>>>Average pose  error: lat  9.13536 	lon 2.25532 	 alt 197.67
>>>>Average pose  error: lat  0.462153 	lon 4.82241 	 alt 197.706
>>>>Average pose  error: lat  9.13536 	lon 1.74269 	 alt 197.681
>>>>Average pose  error: lat  7.8506 	lon 2.25587 	 alt 197.699
>>>>Average pose  error: lat  9.13536 	lon 2.25532 	 alt 197.67
>>>>Average pose  error: lat  0.462153 	lon 4.82241 	 alt 197.706
>>>>Average pose  error: lat  9.13536 	lon 35.3024 	 alt 197.67
>>>>Average pose  error: lat  77.4196 	lon 3.34197 	 alt 89.0637
>>>>Average pose  error: lat  9.13536 	lon 2.25532 	 alt 197.67
>>>>Average pose  error: lat  0.462153 	lon 4.82241 	 alt 197.706
>>>>Average pose  error: lat  9.13536 	lon 2.25532 	 alt 197.67
>>>>Average pose  error: lat  0.462153 	lon 0.255282 	 alt 197.727
>>>>Average pose  error: lat  0.462153 	lon 0.255282 	 alt 197.727
>>>>Average pose  error: lat  0.462153 	lon 0.255282 	 alt 197.727
>>>>Average pose  error: lat  0.462153 	lon 0.255282 	 alt 0.478022
>>>>Average pose  error: lat  78.2645 	lon 5.01684 	 alt 105.163
>>>>Average pose  error: lat  16.958 	lon 24.2549 	 alt 2.03152
>>>>Average pose  error: lat  21.929 	lon 30.2936 	 alt 2.05716
>>>>Average pose  error: lat  1.52226 	lon 6.8183 	 alt 0.346269
>>>>Average pose  error: lat  15.3439 	lon 31.1948 	 alt 1.68565
>>>>Average pose  error: lat  16.7733 	lon 24.9729 	 alt 1.76571
>>>>Average pose  error: lat  1.52226 	lon 6.8183 	 alt 0.346269
>>>>Average pose  error: lat  0.462153 	lon 0.255282 	 alt 0.478022
>>>>Average pose  error: lat  0.462153 	lon 0.255282 	 alt 0.478022
>>>>Average pose  error: lat  1.52226 	lon 6.8183 	 alt 0.346269
